what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673439635266
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1673439635523
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673439641986
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1673439642016
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1673439648013
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1673439648103
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673439650088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673439683050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673439710930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673439719673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673440748168
closed,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1673440749999
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1673440750043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673440751748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673440769020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673440769437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673440769481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673440769637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673440769762
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673440776863
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1673440777121
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673440783748
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1673440786694
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1673440786804
