what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1673346377589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673346377662
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: File not found: C:\\Users\\Dinindu\\Desktop\\e16-4yp-neuromorphic-architecture\\RV32IM_pipeline_FPGA\\debug_SoC\\SoC.sopcinfo\r\nSEVERE: File not found: C:\\Users\\Dinindu\\Desktop\\e16-4yp-neuromorphic-architecture\\RV32IM_pipeline_FPGA\\debug_SoC\\SoC.sopcinfo\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1673346381626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673346383850
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1673346391914
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1673346399190
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1673346401606
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1673346406845
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1673346407265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673346407943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673346446686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1673346450986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1673346459725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1673346467476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1673346469829
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1673346474949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673346480499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673346485354
