what,kind,bundleId,bundleVersion,description,time
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1668906913910
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668906913910
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668906919873
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1668906925472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1668906926953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668906999901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668907001612
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1668907004266
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1668907005060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1668907015279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668907017255
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1668907053055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907055039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907130701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907132600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907134419
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668907136768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1668907139011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907190426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907193394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907207079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907220956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907222545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907224209
error,log,,,"Unable to validate connection settings.",1668907233904
error,log,,,"Unable to validate connection settings.",1668907233904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907233924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907236158
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668907245324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907245963
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1668907246143
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668907253315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907254559
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1668907254639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907254679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907258823
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1668907265676
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1668907265866
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668907267815
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668907323022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907333702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907333752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907333802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907338260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1668907339625
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1668907342364
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1668907342454
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668907346978
error,log,,,"Unable to validate connection settings.",1668907353624
error,log,,,"Unable to validate connection settings.",1668907353624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907353644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907355912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907359205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907359245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907359285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907360964
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1668907364147
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668907364157
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1668907368155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907370839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907373158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907379683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907379753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907383261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907386235
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1668907386251
error,log,,,"Unable to validate connection settings.",1668907394098
error,log,,,"Unable to validate connection settings.",1668907394098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907394118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907397216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907406759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907422574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907423628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907427276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907428256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907429480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907439904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907455621
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668907458021
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1668907458281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907464746
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668907464816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907466025
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1668907466085
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1668907469678
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1668907469868
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668907473316
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1668907556994
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1668907557074
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1668907558523
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1668907558523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907580715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668907622248
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668907641168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1668907731389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1668907731709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1668907731999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1668907732279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1668907732528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1668907732808
