what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298211964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298220003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298309158
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1669298312481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1669298347589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1669298374091
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669298376097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298388336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298392099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298395367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298475921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1669298475936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1669298483729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298491131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298680739
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1669298687072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1669298688528
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1669298693033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298699187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298727257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1669298731114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1669298733826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669298741365
